"ZOO-EVB-EVO-128","Zoology","Evolutionary Biology","Biochemical evidence","Organisms with more similar DNA sequences are","More closely related","Always unrelated","Always extinct","Less evolved","A","Greater DNA similarity indicates closer evolutionary relationship."
"ZOO-EVB-EVO-129","Zoology","Evolutionary Biology","Biochemical evidence","Which molecule is commonly compared to study evolutionary relationship?","Cytochrome c","Cellulose only","Water","Calcium carbonate","A","Cytochrome c sequence is used in molecular evolution."
"ZOO-EVB-EVO-130","Zoology","Evolutionary Biology","Biochemical evidence","Amino acid sequence similarity in proteins indicates","Evolutionary relatedness","No common ancestry","Only environmental effect","Absence of genes","A","Similar proteins suggest shared genes and ancestry."
"ZOO-EVB-EVO-131","Zoology","Evolutionary Biology","Biochemical evidence","Which evidence is most precise for determining close relationship?","DNA sequence comparison","Body colour","Habitat similarity","Food preference","A","DNA sequence gives direct molecular evidence."
"ZOO-EVB-EVO-132","Zoology","Evolutionary Biology","Biochemical evidence","Serological tests compare","Antigen-antibody reactions","Fossil layers","Bone length","Embryo shape only","A","Serology compares protein similarity using immune reactions."
"ZOO-EVB-EVO-133","Zoology","Evolutionary Biology","Biochemical evidence","Similar hemoglobin structure in different mammals suggests","Common ancestry","Independent origin only","No relation","Spontaneous generation","A","Protein similarity indicates relatedness."
"ZOO-EVB-EVO-134","Zoology","Evolutionary Biology","Biochemical evidence","DNA hybridization is used to compare","Genetic similarity","Bone density","External morphology","Fossil age","A","DNA hybridization estimates similarity between DNA molecules."
"ZOO-EVB-EVO-135","Zoology","Evolutionary Biology","Biochemical evidence","Which organisms would show greatest DNA similarity?","Human and chimpanzee","Human and mango","Frog and mushroom","Fish and bacteria","A","Humans and chimpanzees are closely related primates."
"ZOO-EVB-EVO-136","Zoology","Evolutionary Biology","Biochemical evidence","Molecular clock is based on","Accumulation of mutations over time","Formation of fossils only","Embryo size","Body temperature","A","Molecular clock estimates divergence using mutation changes."
"ZOO-EVB-EVO-137","Zoology","Evolutionary Biology","Biochemical evidence","Which observation best supports common origin of life?","All organisms use ATP as energy currency","All organisms have same body shape","All organisms live in water","All organisms are multicellular","A","Universal ATP use supports biochemical unity."
"ZOO-EVB-EVO-138","Zoology","Evolutionary Biology","Biochemical evidence","Similarity in enzymes among organisms is an example of","Biochemical evidence","Morphological evidence","Paleontological evidence","Artificial selection","A","Enzyme comparison is molecular evidence."
"ZOO-EVB-EVO-139","Zoology","Evolutionary Biology","Biochemical evidence","Which evidence would best distinguish closely related species?","DNA base sequence","Number of legs only","Body colour only","Type of habitat only","A","DNA sequence provides high resolution for close relationships."
"ZOO-EVB-EVO-140","Zoology","Evolutionary Biology","Biochemical evidence","If two species have very different cytochrome c sequences, they are likely","Distantly related","Identical species","Always same genus","Recently diverged","A","Greater molecular difference means greater evolutionary distance."
"ZOO-EVB-EVO-141","Zoology","Evolutionary Biology","Lamarckism","Lamarck proposed the theory of","Inheritance of acquired characters","Natural selection","Mutation theory","Chemical evolution","A","Lamarckism is based on inheritance of acquired characters."
"ZOO-EVB-EVO-142","Zoology","Evolutionary Biology","Lamarckism","The book associated with Lamarck is","Philosophie Zoologique","Origin of Species","Principia","Systema Naturae","A","Lamarck wrote Philosophie Zoologique."
"ZOO-EVB-EVO-143","Zoology","Evolutionary Biology","Lamarckism","According to Lamarck, organs used more become","Reduced","Better developed","Immediately lost","Non-heritable","B","Use of an organ increases its development."
"ZOO-EVB-EVO-144","Zoology","Evolutionary Biology","Lamarckism","According to Lamarck, unused organs become","More developed","Reduced","Transformed into wings","Always dominant","B","Disuse leads to degeneration of organs."
"ZOO-EVB-EVO-145","Zoology","Evolutionary Biology","Lamarckism","The long neck of giraffe was explained by Lamarck as due to","Use and inheritance of acquired character","Mutation only","Genetic drift only","Artificial selection","A","Repeated stretching and inheritance was Lamarck's explanation."
"ZOO-EVB-EVO-146","Zoology","Evolutionary Biology","Lamarckism","Which is a main principle of Lamarckism?","Use and disuse","Survival of fittest only","Mutation pressure","Crossing over","A","Use and disuse is central to Lamarckism."
"ZOO-EVB-EVO-147","Zoology","Evolutionary Biology","Lamarckism","Lamarck believed acquired characters are","Inherited by offspring","Never inherited","Always harmful","Only found in fossils","A","Inheritance of acquired characters is the key Lamarckian idea."
"ZOO-EVB-EVO-148","Zoology","Evolutionary Biology","Lamarckism","Which example is commonly used to criticize Lamarckism?","Weismann's tail-cutting experiment","Miller-Urey experiment","Pasteur's flask experiment","Mendel's pea experiment","A","Weismann showed acquired tail loss was not inherited."
"ZOO-EVB-EVO-149","Zoology","Evolutionary Biology","Lamarckism","Weismann cut tails of mice for many generations and found","Tailless mice were born","Normal-tailed mice were born","Mice became giraffes","Mice stopped reproducing","B","Tail cutting is acquired and was not inherited."
"ZOO-EVB-EVO-150","Zoology","Evolutionary Biology","Lamarckism","The major weakness of Lamarckism is that","Acquired characters are generally not inherited","It explains variation perfectly","It uses natural selection","It supports mutation","A","Acquired somatic changes are not usually transmitted to offspring."
"ZOO-EVB-EVO-151","Zoology","Evolutionary Biology","Lamarckism","Which statement is Lamarckian?","Environment creates need and organisms change by use and disuse","Only favourable variations survive","Mutations are random gene changes","DNA sequences determine phylogeny","A","Lamarckism emphasizes need, use-disuse and acquired inheritance."
"ZOO-EVB-EVO-152","Zoology","Evolutionary Biology","Lamarckism","Lamarckism gives importance to","Environment and habits","Only fossils","Only chromosomes","Only radioactive dating","A","Environmental need and habits drive changes in Lamarckism."
"ZOO-EVB-EVO-153","Zoology","Evolutionary Biology","Lamarckism","According to Lamarck, aquatic birds developed webbed feet due to","Stretching skin between toes by swimming","Random mutation only","Artificial selection","Genetic drift","A","Use of feet in water was thought to develop webbing."
"ZOO-EVB-EVO-154","Zoology","Evolutionary Biology","Lamarckism","The idea that blacksmith's strong muscles pass to children is","Lamarckian","Darwinian","Neo-Darwinian","Biochemical","A","It assumes inheritance of acquired muscular development."
"ZOO-EVB-EVO-155","Zoology","Evolutionary Biology","Lamarckism","Which is not a Lamarckian principle?","Natural selection","Use and disuse","Inheritance of acquired characters","Effect of environment","A","Natural selection is Darwin's principle."
"ZOO-EVB-EVO-156","Zoology","Evolutionary Biology","Lamarckism","Lamarckism is considered historically important because it","Was an early evolutionary theory","Proved DNA mutation","Discovered fossils","Explained origin of life chemically","A","Lamarck gave one of the first systematic theories of evolution."
"ZOO-EVB-EVO-157","Zoology","Evolutionary Biology","Lamarckism","If a person loses a finger in an accident, Lamarckism would incorrectly predict","Children may inherit missing finger","Children always have extra fingers","No offspring will be born","DNA code is unchanged","A","Lamarckism predicts acquired changes are inherited."
"ZOO-EVB-EVO-158","Zoology","Evolutionary Biology","Lamarckism","Which scientist opposed inheritance of acquired characters through germplasm theory?","Weismann","Oparin","Haldane","Miller","A","Weismann proposed germplasm continuity."
"ZOO-EVB-EVO-159","Zoology","Evolutionary Biology","Lamarckism","Lamarckism mainly fails because it does not explain","Mechanism of heredity and variation correctly","Use of organs","Effect of environment","Need of organisms","A","It lacked genetic basis for inheritance."
"ZOO-EVB-EVO-160","Zoology","Evolutionary Biology","Lamarckism","According to Lamarckism, evolution occurs mainly at the level of","Individual during lifetime","Population gene pool","DNA base sequence only","Fossil layer","A","Lamarckism focuses on changes acquired by individuals."
"ZOO-EVB-EVO-161","Zoology","Evolutionary Biology","Darwinism","Darwinism is based mainly on","Natural selection","Inheritance of acquired characters","Spontaneous generation","Chemical evolution","A","Darwin explained evolution by natural selection."
"ZOO-EVB-EVO-162","Zoology","Evolutionary Biology","Darwinism","Darwin published On the Origin of Species in","1809","1859","1900","1953","B","Darwin's Origin of Species was published in 1859."
"ZOO-EVB-EVO-163","Zoology","Evolutionary Biology","Darwinism","Darwin visited the Galapagos Islands during voyage of","HMS Beagle","HMS Challenger","Endeavour","Mayflower","A","Darwin sailed on HMS Beagle."
"ZOO-EVB-EVO-164","Zoology","Evolutionary Biology","Darwinism","The phrase survival of the fittest was coined by","Herbert Spencer","Charles Darwin","Lamarck","Miller","A","Herbert Spencer coined the phrase."
"ZOO-EVB-EVO-165","Zoology","Evolutionary Biology","Darwinism","Natural selection acts on","Variations among individuals","Identical individuals only","Fossils only","Non-living matter","A","Selection favors useful variations in individuals."
"ZOO-EVB-EVO-166","Zoology","Evolutionary Biology","Darwinism","According to Darwin, struggle for existence occurs due to","Overproduction of offspring","Absence of variation","No competition","Fixed population size","A","Overproduction leads to competition for limited resources."
"ZOO-EVB-EVO-167","Zoology","Evolutionary Biology","Darwinism","Which is not a postulate of Darwinism?","Overproduction","Struggle for existence","Natural selection","Inheritance of acquired characters as main cause","D","Inheritance of acquired characters belongs to Lamarckism."
